USA-HON,USA-IOW,USA-ANC,USA-POR
USA-LIN
USA-SFO,USA-MIN,USA-WAS
USA-JAF,USA-KAN
USA-LAX,USA-SAN
USA-PIT
USA-JCS,USA-MIW,USA-OMA
USA-ATL
USA-NYM
USA-BOS
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-SLT
USA-BOI,USA-BIR
USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO,USA-SEA,USA-SAT
USA-PHX
USA-DET
USA-HOU,USA-PHI
USA-RAL,USA-CUO,USA-CLE
USA-CHI
USA-DEN
USA-DAL
USA-ORL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
