USA-HON,USA-IOW,USA-LIN
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-DEN
USA-DAL
USA-JAF,USA-KAN
USA-OKL
USA-SEA,USA-SAT
USA-CHI
USA-NYM
USA-STL,USA-CIN,USA-TPA
USA-BOI,USA-ANC,USA-POR
USA-ORL
USA-ATL
USA-PIT
USA-HOU,USA-PHI
USA-BOS
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-IDO
USA-NEO,USA-BIR,USA-SLT
USA-JCS,USA-MIW,USA-OMA
USA-DET
USA-COO
USA-SFO,USA-MIN,USA-WAS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
