USA-DAL
USA-KAN
USA-SFO,USA-MIN,USA-WAS
USA-JCS,USA-LIN
USA-PHX
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-COO
USA-HON,USA-IOW,USA-ANC
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-ORL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-BOI,USA-BIR
USA-HOU,USA-PHI
USA-LAX,USA-SAN
USA-SEA,USA-POR
USA-CHI
USA-ATL
USA-DEN
USA-DET
USA-OKL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-PIT
