USA-LIN
USA-CHI
USA-PHX
USA-ORL
USA-SEA,USA-POR
USA-BOS
USA-DAL
USA-NYM
USA-SAT,USA-SLT
USA-DES,USA-BIR,USA-LEK
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-LAX,USA-SAN
USA-COO
USA-JAF,USA-KAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI
USA-DET
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-MIN
USA-MIW,USA-NEO,USA-OKL
USA-PIT
USA-BOI,USA-ANC
USA-SFO,USA-DEN,USA-WAS
USA-ATL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
