USA-JCS,USA-IOW,USA-ANC,USA-RAL,USA-VIR
USA-DEN
USA-CHI
USA-DET
USA-HON,USA-BOI
USA-LIN
USA-MIW,USA-NEO,USA-BIR,USA-RON,USA-NAS
USA-OKL
USA-PHX,USA-AUT
USA-DAL
USA-KAN
USA-LAX,USA-SAN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-NYM,USA-SLT
USA-CRS,USA-CTN
USA-SFO,USA-MIN,USA-WAS
USA-ATL
USA-PIT
USA-HOU,USA-PHI
USA-SEA,USA-POR
USA-ORL
USA-COO
