USA-CHI
USA-HON,USA-IOW,USA-LIN
USA-PHX
USA-NEO,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN
USA-SEA,USA-SAT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-POR
USA-HOU,USA-PHI
USA-JAF,USA-KAN
USA-BOI,USA-ANC
USA-ATL
USA-ORL
USA-DET
USA-BOS
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-COO
USA-OKL
USA-DAL
USA-LAX,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-SFO,USA-MIN,USA-WAS
USA-JCS,USA-RAL
USA-PIT
