USA-SFO,USA-KAN,USA-OKL
USA-LAX,USA-SAN
USA-AUT,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-PHX
USA-LIN
USA-BOI,USA-BIR
USA-CHI
USA-COO
USA-JCS,USA-RAL
USA-CRS,USA-CTN
USA-NYM,USA-DET
USA-TLS,USA-ABU,USA-VIR
USA-DEN
USA-NEO,USA-HOU,USA-WAS,USA-PHI,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-MIN,USA-PIT
USA-REN,USA-OMA,USA-LIT
USA-SEA,USA-SAT
USA-ANC
USA-ATL
USA-ORL
USA-HON,USA-IOW,USA-POR
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-DAL
USA-BOS
