USA-ATL
USA-JCS,USA-LIN
USA-OKL
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CRS,USA-CTN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-COO,USA-SEA,USA-SAT
USA-NEO,USA-SLT
USA-BOI,USA-POR
USA-DET
USA-DAL
USA-SFO,USA-DEN,USA-WAS
USA-PHX
USA-AUT,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-HOU,USA-PHI
USA-MIN
USA-BOS
USA-LAX,USA-SAN
USA-JAF,USA-KAN
USA-CHI
USA-HON,USA-IOW,USA-ANC
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-NYM
USA-PIT
