USA-BOI,USA-ANC
USA-SEA,USA-LAX
USA-COO
USA-PHI
USA-ATL
USA-MIN
USA-PHX
USA-POR
USA-ORL
USA-OKL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-KAN,USA-WAS
USA-BOS
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-HOU,USA-SAN
USA-CHI
USA-PIT
USA-DET
USA-NEO,USA-NYM,USA-SLT
USA-DAL
