USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-NYM
USA-CHI
USA-LAX,USA-SAN
USA-ANC
USA-BOI,USA-BIR
USA-HOU,USA-PHI
USA-DEN
USA-SFO,USA-MIN,USA-WAS
USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ATL
USA-KAN
USA-BOS
USA-NEO
USA-PHX
USA-DET
USA-COO,USA-SEA,USA-POR
USA-SAT,USA-SLT
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-PIT
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-MIW,USA-JAF,USA-OKL,USA-OMA
USA-ORL
