USA-ATL
USA-POR
USA-CRS,USA-CTN
USA-BOS
USA-JCS,USA-RAL
USA-JAF,USA-KAN,USA-OKL
USA-BOI,USA-ANC
USA-HON,USA-IOW,USA-LIN
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-HOU,USA-SAN
USA-ORL
USA-SEA,USA-LAX
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-NYM,USA-SLT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT
USA-DEN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CHI
USA-DAL
USA-PHI
USA-COO
USA-PHX,USA-AUT
USA-DET
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-MIW,USA-NEO,USA-RON,USA-NAS
