USA-LAX,USA-SAN
USA-DEN
USA-AUT,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-HOU,USA-PHI
USA-BOS
USA-ATL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DET
USA-JCS,USA-MIW,USA-OMA
USA-BOI,USA-BIR
USA-PHX
USA-LIN
USA-MIN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-CRS,USA-CTN
USA-NEO
USA-COO,USA-SEA,USA-SAT
USA-NYM
USA-DAL
USA-PIT,USA-WAS,USA-SLT
USA-CHI
USA-HON,USA-IOW,USA-POR
USA-SFO,USA-JAF,USA-KAN,USA-OKL
USA-ANC
USA-ORL
