USA-COO
USA-PHI
USA-BOI,USA-ANC,USA-POR
USA-SEA,USA-SAT,USA-LAX
USA-DET
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-BOS
USA-HOU,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-PHX
USA-ORL
USA-CUO,USA-CLE
USA-ATL
USA-OKL
USA-DAL
USA-PIT
USA-JAF,USA-KAN
USA-SFO,USA-MIN,USA-WAS
USA-LIN
USA-CHI
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-NEO,USA-NYM,USA-SLT
