USA-PHX
USA-JAF,USA-KAN,USA-OKL
USA-CHI
USA-ANC
USA-HOU,USA-PHI
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-SEA,USA-POR
USA-ABU,USA-REN
USA-LIN
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-SFO,USA-MIN,USA-WAS
USA-COO
USA-ORL
USA-HON,USA-BOI
USA-JCS,USA-IOW,USA-TLS,USA-DES,USA-VIR,USA-OMA
USA-DAL
USA-ATL
USA-PIT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LAX,USA-SAN
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-DEN
USA-BOS
