USA-SFO,USA-KAN,USA-POR
USA-AUT,USA-RAL,USA-CUO,USA-CLE,USA-SAN,USA-NAS
USA-MIN
USA-DAL
USA-SEA,USA-SAT,USA-LAX
USA-HON,USA-IOW,USA-ANC
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-ATL
USA-BOI,USA-BIR
USA-DET
USA-CRS,USA-CTN
USA-JAF,USA-DES,USA-LEK
USA-CHI
USA-BOS
USA-COO
USA-DEN
USA-HOU,USA-PHI
USA-PHX
USA-ORL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-MIW,USA-NEO
USA-OKL
USA-JCS,USA-LIN
USA-WAS,USA-NYM,USA-SLT
USA-PIT
