USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-NEO
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PIT
USA-CHI
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-WAS,USA-SLT
USA-DET
USA-NYM
USA-LIN
USA-BOS
USA-ATL
USA-LAX,USA-SAN
USA-BOI,USA-ANC
USA-HOU,USA-PHI
USA-DAL
USA-PHX
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-ORL
USA-OKL
USA-MIN
USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DEN
USA-COO
