USA-ORL
USA-NYM
USA-COO,USA-SEA,USA-POR
USA-CHI
USA-LAX,USA-SAN
USA-PIT
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-BOI,USA-BIR
USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-ANC
USA-PHX
USA-DEN
USA-LIN
USA-BOS
USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DET
USA-ATL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-NEO,USA-SLT
