USA-OKL
USA-RAL,USA-CUO,USA-CLE
USA-BOI
USA-DET
USA-JAF,USA-TLS,USA-KAN,USA-DES,USA-OMA
USA-PHX
USA-WAS,USA-PHI
USA-SEA,USA-SAT,USA-LAX
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DEN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-ATL
USA-CHI
USA-MIN
USA-HOU,USA-SAN
USA-BOS
USA-SFO,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-COO
USA-PIT
USA-ORL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-NYM,USA-SLT
