USA-DEN
USA-HOU,USA-PHI
USA-JAF,USA-KAN
USA-DET
USA-ORL
USA-BOI
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-CHI
USA-ANC
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-OKL
USA-SEA,USA-POR
USA-PIT
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PHX
USA-SFO,USA-MIN,USA-WAS
USA-COO
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-BOS
USA-LAX,USA-SAN
USA-ATL
