USA-OKL
USA-NEO,USA-NYM,USA-SLT
USA-DET
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-BOI,USA-BIR
USA-POR,USA-SAN
USA-CHI
USA-HOU,USA-PHI
USA-DEN
USA-COO
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-LIN
USA-ATL
USA-ANC
USA-KAN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-SEA,USA-SAT,USA-LAX
USA-BOS
USA-ORL
USA-DAL
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
