USA-BOI,USA-ANC
USA-SFO,USA-MIN,USA-WAS
USA-ORL
USA-HOU,USA-PHI
USA-SEA,USA-POR
USA-NEO,USA-SLT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-DAL
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-LIN
USA-COO
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-NYM
USA-PIT
USA-JAF,USA-KAN,USA-OKL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-PHX
USA-CHI
USA-ATL
USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-DET
