USA-SFO,USA-SEA,USA-POR
USA-BOI
USA-CRS,USA-CTN
USA-DAL
USA-COO
USA-MIN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DET
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-HOU,USA-PHI
USA-WAS,USA-NYM,USA-SLT
USA-ATL
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-JAF,USA-KAN,USA-OKL
USA-PHX,USA-AUT
USA-ANC
USA-CHI
USA-LAX,USA-SAN
USA-ORL
USA-PIT
USA-BOS
