USA-LIN
USA-DAL
USA-WAS,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-BOI,USA-ANC,USA-POR
USA-ORL
USA-PHX
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-NYM
USA-MIW,USA-NEO,USA-BIR
USA-MIN
USA-DET
USA-PIT
USA-JAF,USA-DES,USA-LEK
USA-ATL
USA-CHI
USA-DEN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-LAX,USA-SAN
USA-CUO,USA-CLE
USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO,USA-SEA,USA-SAT
USA-SFO,USA-KAN,USA-OKL
