USA-BOS
USA-DET
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-SFO,USA-SEA,USA-POR
USA-MIN
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-PHX
USA-PIT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-COO
USA-CHI
USA-ATL
USA-ORL
USA-JAF,USA-KAN
USA-BOI,USA-ANC
USA-WAS,USA-NYM,USA-SLT
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DEN
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-OKL
USA-HOU,USA-PHI
USA-LAX,USA-SAN
USA-NEO
