USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-COO
USA-PHX
USA-PIT
USA-LIN
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-JAF,USA-KAN
USA-ATL
USA-BOS
USA-BOI,USA-BIR
USA-ORL
USA-DEN
USA-CHI
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-SEA,USA-LAX
USA-SFO,USA-MIN,USA-WAS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-OKL
USA-PHI
USA-HOU,USA-SAN
USA-POR
USA-NEO,USA-NYM,USA-SLT
USA-DET
USA-DAL
