USA-BOI,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-OKL
USA-ATL
USA-DEN
USA-COO,USA-SEA,USA-SAT
USA-DET
USA-SFO,USA-KAN,USA-POR
USA-NEO
USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-LIN
USA-WAS,USA-NYM,USA-SLT
USA-MIN
USA-LAX,USA-SAN
USA-CUO,USA-CLE
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-PIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-BOS
USA-HOU,USA-PHI
USA-ORL
USA-PHX
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
