USA-ATL
USA-SEA,USA-SAT,USA-LAX
USA-MIN
USA-POR
USA-BOI,USA-BIR
USA-PHX
USA-BOS
USA-DET
USA-JCS,USA-ANC,USA-RAL,USA-VIR
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-SFO,USA-DEN,USA-WAS
USA-PIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-HON,USA-IOW,USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO
USA-DAL
USA-CUO,USA-CLE
USA-NEO,USA-SLT
USA-PHI
USA-NYM
USA-HOU,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-RON,USA-LEK
USA-CHI
