USA-BOI,USA-BIR
USA-BOS
USA-SFO,USA-SEA,USA-POR
USA-NYM
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-DEN
USA-ORL
USA-HOU,USA-SAN
USA-NEO,USA-SLT
USA-CHI
USA-PIT
USA-DET
USA-DAL
USA-ABU,USA-LAX
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ATL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-WAS,USA-PHI
USA-COO
USA-MIN
USA-LIN
USA-PHX
USA-OKL
