USA-OKL
USA-NEO,USA-NYM,USA-SLT
USA-SEA,USA-POR
USA-HOU,USA-PHI
USA-COO
USA-ANC
USA-ATL
USA-BOI,USA-BIR
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ORL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
USA-DEN
USA-DET
USA-CHI
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-PIT
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-JAF,USA-DES,USA-LEK
USA-PHX
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-BOS
USA-LAX,USA-SAN
USA-LIN
