USA-COO,USA-SEA,USA-POR
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-ORL
USA-CHI
USA-CRS,USA-CTN
USA-PIT
USA-PHX,USA-AUT
USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-ANC
USA-MIW,USA-NEO,USA-KAN,USA-RON,USA-NAS
USA-HON,USA-IOW,USA-LIN
USA-DAL
USA-MIN
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-OKL
USA-BOI,USA-BIR
USA-LAX,USA-SAN
USA-JCS,USA-RAL
USA-DET
USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT
USA-SFO,USA-DEN,USA-WAS
USA-ATL
