USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ANC
USA-DET
USA-COO
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PIT
USA-KAN
USA-HOU,USA-PHI
USA-LAX,USA-SAN
USA-ATL
USA-OKL
USA-SEA,USA-POR
USA-DEN
USA-NEO,USA-NYM,USA-SLT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CHI
USA-PHX
USA-ORL
USA-LIN
USA-SFO,USA-MIN,USA-WAS
USA-BOI,USA-BIR
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
