USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-JAF,USA-KAN
USA-ORL
USA-OKL
USA-HON,USA-IOW,USA-ANC
USA-DAL
USA-JCS,USA-RAL
USA-PIT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-ATL
USA-SFO,USA-MIN,USA-WAS
USA-PHX
USA-COO,USA-SEA,USA-POR
USA-LAX,USA-SAN
USA-DET
USA-CHI
USA-DEN
USA-HOU,USA-PHI
USA-CRS,USA-CTN
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-LIN
USA-AUT,USA-STL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-BOI
