USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-BOS
USA-ORL
USA-MIN
USA-JAF,USA-KAN
USA-OKL
USA-DEN
USA-ATL
USA-PIT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-COO
USA-POR
USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-NEO,USA-SLT
USA-SFO,USA-WAS,USA-DET
USA-NYM
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-PHX
USA-CHI
USA-DAL
USA-SEA,USA-SAT,USA-LAX
USA-BOI,USA-ANC
USA-HOU,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
