USA-BOI,USA-BIR
USA-ORL
USA-ANC
USA-ATL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-BOS
USA-MIN
USA-PHX
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LAX,USA-SAN
USA-DET
USA-NYM,USA-SLT
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-SFO,USA-KAN,USA-WAS
USA-CHI
USA-PIT
USA-JCS,USA-LIN
USA-HOU,USA-PHI
USA-HON,USA-IOW,USA-SEA,USA-POR
USA-DEN
USA-COO
USA-JAF,USA-DES,USA-LEK
USA-MIW,USA-NEO,USA-OKL
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-DAL
