USA-SEA,USA-SAT
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-MIN
USA-OKL
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-NYM
USA-ATL
USA-PIT
USA-DEN
USA-NEO,USA-SLT
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-JAF,USA-TLS,USA-DES,USA-OMA
USA-COO
USA-CHI
USA-SFO,USA-KAN,USA-WAS
USA-DET
USA-LAX,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ORL
USA-BOI,USA-POR
USA-PHX
USA-BOS
USA-DAL
