USA-PHX
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-BOI,USA-BIR
USA-COO
USA-ATL
USA-HOU,USA-PHI
USA-PIT
USA-DAL
USA-JAF,USA-TLS,USA-DES,USA-LEK
USA-LAX,USA-SAN
USA-OKL
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DET
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-NEO,USA-SLT
USA-DEN
USA-MIW,USA-MAW,USA-LIT,USA-RON
USA-CHI
USA-SEA,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-NYM
