USA-SEA,USA-SAT
USA-SFO,USA-MIN,USA-WAS
USA-BOI,USA-BIR
USA-HOU,USA-PHI
USA-PHX
USA-ANC
USA-NEO,USA-SLT
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-COO
USA-BOS
USA-ORL
USA-JAF,USA-KAN
USA-NYM
USA-CHI
USA-JCS,USA-LIN
USA-OKL
USA-DAL
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-HON,USA-IOW,USA-POR
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ATL
USA-PIT
USA-DEN
USA-DET
