USA-CHI
USA-NYM
USA-DAL
USA-BOS
USA-HON,USA-IOW,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-PIT
USA-ATL
USA-SFO,USA-MIN,USA-WAS
USA-DET
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-JAF,USA-KAN
USA-NEO,USA-SLT
USA-PHX
USA-LAX,USA-SAN
USA-BOI,USA-ANC
USA-HOU,USA-PHI
USA-DEN
USA-POR
USA-COO,USA-SEA,USA-SAT
USA-ORL
USA-OKL
USA-JCS,USA-RAL
