USA-HON,USA-IOW,USA-LIN
USA-CIN,USA-IDO,USA-TPA
USA-BOI,USA-ANC
USA-ATL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-JCS,USA-RAL
USA-SEA,USA-SAT
USA-SFO,USA-DEN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-PIT
USA-ORL
USA-COO
USA-LAX,USA-SAN
USA-DAL
USA-OKL
USA-CHI
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DET
USA-PHX
USA-HOU,USA-PHI
USA-BOS
USA-MIN
USA-POR
