USA-SFO,USA-KAN,USA-POR
USA-NEO
USA-MIN
USA-NYM
USA-OKL
USA-RAL,USA-CUO,USA-CLE
USA-MAW,USA-TLS,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-ATL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-JAF,USA-ABU,USA-OMA
USA-DEN
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DAL
USA-COO,USA-SEA,USA-SAT
USA-BOS
USA-DET
USA-ORL
USA-LAX,USA-SAN
USA-HOU,USA-PHI
USA-ANC
USA-BOI,USA-BIR
USA-CHI
USA-PIT,USA-WAS,USA-SLT
USA-PHX
