USA-ORL
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-OKL
USA-DET
USA-SFO,USA-KAN,USA-WAS
USA-MIN
USA-PIT
USA-PHX
USA-HOU,USA-SAN
USA-CHI
USA-BOS
USA-COO
USA-CRS,USA-CTN
USA-AUT,USA-CUO,USA-CLE,USA-NAS
USA-SEA,USA-SAT,USA-LAX
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-BOI,USA-ANC,USA-POR
USA-PHI
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-JAF,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA
USA-ATL
USA-LIN
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
