USA-PHX
USA-ATL
USA-ABU,USA-LAX
USA-SFO,USA-POR
USA-HOU,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-MIW,USA-NEO,USA-OKL
USA-BOS
USA-MIN
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-SEA,USA-SAT
USA-ORL
USA-DEN
USA-CHI
USA-JAF,USA-KAN
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO
USA-ANC
USA-TLS,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DAL
USA-DET
USA-PIT
USA-BOI
