USA-SEA,USA-POR
USA-OKL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DET
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-ORL
USA-COO
USA-LAX,USA-SAN
USA-BOS
USA-PIT
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-NEO,USA-SLT
USA-LIN
USA-CHI
USA-DEN
USA-ATL
USA-ANC
USA-HOU,USA-PHI
USA-NYM
USA-DAL
USA-PHX
USA-BOI,USA-BIR
