USA-BOS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-WAS
USA-ANC,USA-ABU,USA-REN
USA-LAX,USA-SAN
USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-KAN
USA-DET
USA-OKL
USA-HOU,USA-PHI
USA-JAF,USA-DES,USA-LEK
USA-ATL
USA-COO,USA-SEA,USA-POR
USA-CHI
USA-BOI,USA-BIR
USA-PIT
USA-DAL
USA-PHX
USA-MIW,USA-MAW,USA-TLS,USA-VIR,USA-LIT,USA-RON
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-ORL
