USA-SFO,USA-MIN,USA-WAS
USA-LAX,USA-SAN
USA-HON,USA-IOW,USA-LIN
USA-BOI,USA-ANC
USA-DAL
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-OKL
USA-JCS,USA-RAL
USA-NEO,USA-NYM,USA-SLT
USA-PIT
USA-COO
USA-ATL
USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOS
USA-DEN
USA-CHI
USA-HOU,USA-PHI
USA-SEA,USA-SAT
USA-DET
USA-PHX
USA-JAF,USA-KAN
USA-ORL
