USA-DEN
USA-CIN,USA-IDO
USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIN,USA-SAT,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO
USA-NEO
USA-ATL
USA-SFO,USA-SEA,USA-POR
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CHI
USA-ORL
USA-PHX
USA-OKL
USA-NYM
USA-LAX,USA-SAN
USA-DET
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-JAF,USA-KAN
USA-BOI,USA-ANC
USA-DAL
USA-HOU,USA-PHI
USA-PIT,USA-WAS,USA-SLT
