USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ORL
USA-BOS
USA-BOI,USA-POR
USA-CHI
USA-JAF,USA-KAN
USA-SEA,USA-SAT
USA-DET
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-HOU,USA-PHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-COO
USA-ATL
USA-OKL
USA-NEO,USA-SLT
USA-PHX
USA-PIT
USA-NYM
USA-HON,USA-IOW,USA-ANC
USA-SFO,USA-MIN,USA-WAS
USA-DEN
USA-DAL
USA-JCS,USA-LIN
