USA-PIT
USA-ATL
USA-DAL
USA-BOS
USA-COO
USA-SFO,USA-MIN,USA-WAS
USA-BOI,USA-BIR
USA-DEN
USA-JCS,USA-RAL,USA-VIR
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-KAN
USA-HON,USA-IOW,USA-ABU,USA-REN
USA-CHI
USA-ORL
USA-SEA,USA-POR
USA-LIN
USA-HOU,USA-PHI
USA-PHX
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-ANC
USA-LAX,USA-SAN
USA-NEO,USA-NYM,USA-SLT
USA-JAF,USA-OKL,USA-OMA
