USA-BOS
USA-ORL
USA-BOI,USA-BIR
USA-PHX
USA-NEO,USA-SLT
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PIT
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-LIN
USA-DAL
USA-NYM
USA-CHI
USA-SEA,USA-POR
USA-LAX,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-JAF,USA-KAN,USA-OKL
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-WAS
USA-DET
