USA-LIN
USA-OKL
USA-CHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-SFO,USA-KAN,USA-DEN,USA-WAS
USA-COO,USA-SEA,USA-SAT
USA-PHX
USA-DET
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-PIT
USA-HOU,USA-PHI
USA-BOI,USA-BIR
USA-DAL
USA-LAX,USA-SAN
USA-ATL
USA-NYM
USA-NEO,USA-SLT
USA-BOS
USA-ORL
USA-CRS,USA-CTN
USA-MIN
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-JCS,USA-RAL
USA-AUT,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
