USA-MIN
USA-SEA,USA-LAX
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-BOI,USA-ANC
USA-DET
USA-DAL
USA-ORL
USA-NEO,USA-WAS,USA-SLT
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-CHI
USA-BOS
USA-PIT
USA-NYM
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-OKL
USA-COO
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-PHX
USA-SFO,USA-POR,USA-SAN
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-JAF,USA-KAN
USA-HOU,USA-PHI
