USA-KAN
USA-ANC,USA-ABU,USA-VIR
USA-BOI,USA-BIR
USA-CRS,USA-CTN
USA-WAS,USA-NYM,USA-SLT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-COO
USA-DAL
USA-CHI
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-DET
USA-OKL
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ORL
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-BOS
USA-ATL
USA-MIN
USA-SFO,USA-SEA,USA-POR
USA-LAX,USA-SAN
USA-PIT
USA-PHX,USA-AUT
