USA-DET
USA-JCS,USA-RAL,USA-VIR
USA-CRS,USA-CTN
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-NYM,USA-SLT
USA-LAX,USA-SAN
USA-CHI
USA-ORL
USA-HON,USA-IOW,USA-LIN
USA-KAN
USA-PHX,USA-AUT
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-BOI,USA-BIR
USA-COO
USA-ANC
USA-OKL
USA-HOU,USA-PHI
USA-DEN
USA-BOS
USA-SEA,USA-POR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-DAL
