USA-ANC
USA-SEA,USA-POR
USA-BOI,USA-BIR
USA-HOU,USA-PHI
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-NEO,USA-SLT
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-CHI
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-OKL
USA-BOS
USA-COO
USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-ATL
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-PHX
USA-NYM
USA-DAL
USA-JAF,USA-DES,USA-LEK
USA-ORL
USA-LIN
USA-JCS,USA-HON,USA-IOW,USA-RAL
