USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-PIT,USA-DEN,USA-PHX,USA-WAS,USA-SLT
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-OKL,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-DAL,USA-CHI
USA-SFO,USA-MIN,USA-KAN,USA-COO,USA-SEA,USA-POR
USA-NYM,USA-DET,USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-LAX,USA-SAN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ORL
