USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DAL,USA-CHI
USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-BOI,USA-ANC,USA-POR
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT,USA-BOS
USA-HOU,USA-PHX,USA-PHI,USA-AUT,USA-SAN
USA-NEO,USA-DET,USA-CIN,USA-IDO,USA-TPA,USA-ATL
USA-ORL
USA-MIW,USA-KAN,USA-CRS,USA-CTN,USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-RON,USA-NAS
