USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-DES,USA-REN,USA-LIN
USA-MIW,USA-NEO,USA-HOU,USA-PHI,USA-CIN,USA-IDO,USA-TPA,USA-SLT
USA-DAL,USA-CHI
USA-MIN,USA-NYM,USA-ORL
USA-SFO,USA-PIT,USA-DEN,USA-PHX,USA-WAS
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ATL
USA-JAF,USA-MAW,USA-TLS,USA-KAN,USA-CRS,USA-AUT,USA-ABU,USA-CTN,USA-STL,USA-RAL,USA-BIR,USA-VIR,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN,USA-LIT,USA-RON,USA-LEK,USA-NAS
USA-BOI,USA-ANC,USA-POR
