USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-MIW,USA-KAN,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-PHX,USA-AUT,USA-ORL
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-RAL,USA-LIN
USA-DET,USA-BOS,USA-CHI
USA-DEN,USA-COO,USA-SAT,USA-OKL
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DAL,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
