USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ORL
USA-DEN,USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-MIW,USA-KAN,USA-CRS,USA-AUT,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-LIN,USA-SAN
USA-DET,USA-BOS,USA-CHI
USA-BOI,USA-ANC,USA-POR
USA-SFO,USA-MIN,USA-PIT,USA-PHX,USA-WAS,USA-NYM,USA-DAL,USA-SLT
