USA-HOU,USA-PHI,USA-ATL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-SAN,USA-NAS
USA-JCS,USA-JAF,USA-MAW,USA-IOW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN,USA-LIT,USA-RON,USA-LEK
USA-PIT,USA-DEN,USA-WAS,USA-DAL
USA-NYM,USA-DET,USA-BOS
USA-HON,USA-BOI,USA-COO,USA-ANC,USA-POR
USA-ORL
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-OKL,USA-BIR,USA-SLT
USA-CHI
USA-SFO,USA-MIN,USA-KAN,USA-STL,USA-SEA,USA-SAT,USA-TPA,USA-LAX,USA-CUO,USA-CLE
