USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-KAN,USA-CRS,USA-AUT,USA-CTN,USA-DES,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK,USA-NAS
USA-DEN,USA-PHX
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DAL,USA-SLT
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-REN,USA-RAL,USA-LIN
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ABU,USA-LAX,USA-POR,USA-SAN
USA-DET,USA-BOS,USA-CHI
USA-ORL
