USA-MIW,USA-NEO,USA-HOU,USA-CIN,USA-IDO,USA-OKL
USA-DAL,USA-CHI
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-KAN,USA-CRS,USA-AUT,USA-CTN,USA-STL,USA-TPA,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN,USA-RON,USA-NAS
USA-PIT,USA-PHX
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN,USA-POR
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-WAS,USA-NYM,USA-PHI,USA-SLT,USA-ORL
USA-ATL
USA-DET,USA-BOS
