USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-SLT,USA-BOS
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-KAN,USA-CRS,USA-ABU,USA-DES,USA-BIR,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK,USA-NAS
USA-CTN,USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOI,USA-ANC
USA-DEN,USA-COO,USA-SAT,USA-OKL
USA-PHX,USA-AUT,USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-REN,USA-RAL,USA-LIN
USA-DAL,USA-CHI
