USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-ORL,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-DET,USA-DAL,USA-SLT,USA-BOS
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-KAN,USA-DES,USA-OKL,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOI,USA-BIR
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-LAX,USA-SAN,USA-CHI
USA-ANC,USA-ABU,USA-REN,USA-VIR,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
